    7489.806     43.281   3.600  1.02294E+00  9.59919E-01  6.29212E-02
    7491.187     44.662   3.650  1.03176E+00  9.57961E-01  7.39506E-02
    7492.587     46.062   3.700  1.03632E+00  9.56003E-01  8.07733E-02
    7494.006     47.481   3.750  1.03667E+00  9.54045E-01  8.33943E-02
    7495.445     48.919   3.800  1.03310E+00  9.52087E-01  8.20703E-02
    7496.902     50.377   3.850  1.02684E+00  9.50482E-01  7.75838E-02
    7498.378     51.853   3.900  1.01772E+00  9.48877E-01  7.01564E-02
    7499.874     53.349   3.950  1.00646E+00  9.47273E-01  6.05029E-02
    7501.388     54.863   4.000  9.93857E-01  9.45668E-01  4.94112E-02
    7502.922     56.397   4.050  9.81418E-01  9.44816E-01  3.76226E-02
    7504.474     57.949   4.100  9.68994E-01  9.43964E-01  2.57914E-02
    7506.046     59.521   4.150  9.57210E-01  9.43112E-01  1.45628E-02
    7507.636     61.111   4.200  9.46543E-01  9.42260E-01  4.43450E-03
    7509.246     62.721   4.250  9.37876E-01  9.42164E-01 -4.44916E-03
    7510.875     64.350   4.300  9.30723E-01  9.42069E-01 -1.17907E-02
    7512.523     65.998   4.350  9.25074E-01  9.41973E-01 -1.75925E-02
    7514.190     67.665   4.400  9.20789E-01  9.41877E-01 -2.19924E-02
    7515.876     69.350   4.450  9.18149E-01  9.42349E-01 -2.52704E-02
    7517.581     71.055   4.500  9.16441E-01  9.42821E-01 -2.75828E-02
    7519.305     72.779   4.550  9.15446E-01  9.43293E-01 -2.91535E-02
    7521.048     74.523   4.600  9.15015E-01  9.43765E-01 -3.01380E-02
    7522.810     76.285   4.650  9.15285E-01  9.44489E-01 -3.06407E-02
    7524.591     78.066   4.700  9.16101E-01  9.45212E-01 -3.05711E-02
    7526.391     79.866   4.750  9.17557E-01  9.45936E-01 -2.98284E-02
    7528.210     81.685   4.800  9.19786E-01  9.46659E-01 -2.82711E-02
    7530.049     83.524   4.850  9.22758E-01  9.47258E-01 -2.57900E-02
    7531.906     85.381   4.900  9.26675E-01  9.47857E-01 -2.23104E-02
    7533.782     87.257   4.950  9.31506E-01  9.48456E-01 -1.78636E-02
    7535.678     89.153   5.000  9.37108E-01  9.49054E-01 -1.25980E-02
    7537.592     91.067   5.050  9.42849E-01  9.49307E-01 -6.81355E-03
    7539.526     93.001   5.100  9.48768E-01  9.49559E-01 -8.35576E-04
    7541.479     94.954   5.150  9.54475E-01  9.49812E-01  4.92476E-03
    7543.450     96.925   5.200  9.59574E-01  9.50064E-01  1.00489E-02
    7545.441     98.916   5.250  9.63196E-01  9.49823E-01  1.41372E-02
    7547.451    100.926   5.300  9.65648E-01  9.49581E-01  1.69915E-02
    7549.480    102.955   5.350  9.66806E-01  9.49339E-01  1.84793E-02
    7551.527    105.002   5.400  9.66677E-01  9.49098E-01  1.86057E-02
    7553.594    107.069   5.450  9.64995E-01  9.48411E-01  1.75597E-02
    7555.680    109.155   5.500  9.62480E-01  9.47724E-01  1.56305E-02
    7557.785    111.260   5.550  9.59465E-01  9.47037E-01  1.31700E-02
    7559.909    113.384   5.600  9.56302E-01  9.46351E-01  1.05508E-02
    7562.053    115.527   5.650  9.53105E-01  9.45381E-01  8.19195E-03
    7564.215    117.690   5.700  9.50342E-01  9.44411E-01  6.29232E-03
    7566.396    119.871   5.750  9.48144E-01  9.43441E-01  4.99179E-03
    7568.596    122.071   5.800  9.46519E-01  9.42471E-01  4.29772E-03
    7570.816    124.290   5.850  9.45283E-01  9.41380E-01  4.14546E-03
